MCC,Название,Группа
6536,Денежные переводы MasterCard MoneySend - внутри страны,Поставщик услуг
6537,Денежные переводы MasterCard MoneySend - между странами,Поставщик услуг
6538,Денежные переводы MasterCard MoneySend Funding,Поставщик услуг
6539,Транзакция по финансированию (исключая MoneySend),Поставщик услуг
6540,Транзакции по финансированию POI (за исключением MoneySend),Поставщик услуг
6611,Переплата (авансовые платежи),Поставщик услуг
6760,Облигации сберегательного займа,Поставщик услуг
7012,Тайм-шер,Поставщик услуг
7032,Рекреационные и спортивные лагеря,Поставщик услуг
7033,Кемпинги и трейлер-парки,Поставщик услуг
7210,Услуги по уборке и прачечной,Личные услуги
7211,Услуги прачечной - семейные и коммерческие,Личные услуги
7216,Химчистка,Личные услуги
7217,Чистка ковров и обивок,Личные услуги
7221,Фотостудии,Личные услуги
7230,Парикмахерские и салоны красоты,Личные услуги
7251,"Чистка шляп, ремонт и чистка обуви",Личные услуги
7261,Похоронные службы и крематории,Личные услуги
7273,Знакомства,Личные услуги
7276,Служба налоговой подготовки,Личные услуги
7277,"Долги, брак, личные вопросы - консультирование",Личные услуги
7278,Услуги покупок/шоппинга,Личные услуги
7280,Пациент больницы – вывод личных средств,Личные услуги
7296,"Сдача в аренду костюмов, униформы, простой одежды",Личные услуги
7297,Массажные салоны,Личные услуги
7298,Салоны красоты и здоровья,Личные услуги
7299,Иной сервис - нигде более не классифицированные,Личные услуги
7311,Рекламные услуги,Бизнес услуги
7321,Потребительские кредитные агентства,Бизнес услуги
7322,Агентства взыскания долгов,Бизнес услуги
7332,Услуги синьки и фотокопирования,Бизнес услуги
7333,"Коммерческое искусство, графика, фотография",Бизнес услуги
7338,"Быстрое копирование, репродуцирование и услуги по созданию чертежей",Бизнес услуги
7339,Услуги стенографии и секретарского дела,Бизнес услуги
7342,Истребление насекомых и дезинфекция,Бизнес услуги
7349,Уборка и чистка помещений,Бизнес услуги
7361,"Агентства по трудоустройству, временные справочные службы",Бизнес услуги
7372,"Программирование, обработка данных, проектирование интегрированных систем",Бизнес услуги
7375,Информационно-поисковые услуги,Бизнес услуги
7379,Ремонт компьютеров,Бизнес услуги
7389,Бизнес услуги – нигде более не классифицированные,Бизнес услуги
7392,"Услуги по консультированию, управлению и связям с общественностью",Бизнес услуги
7393,"Детективные агентства, охранные агентства, службы безопасности, включая бронированные автомобили, сторожевых собак",Бизнес услуги
7394,"Аренда оборудования и лизинговые услуги, аренда мебели, прокат инструментов",Бизнес услуги
7395,"Фотостудии, фотолаборатории",Бизнес услуги
7399,Бизнес услуги – нигде более не классифицированные,Бизнес услуги
7511,Стоянка грузового транспорта,Бизнес услуги
7523,Паркинги и гаражи,Бизнес услуги
7531,Станции технического обслуживания для автомобильного транспорта,Ремонтные услуги
7534,Шиномонтаж и вулканизация,Ремонтные услуги
7535,Покраска автомобилей,Ремонтные услуги
7538,СТО общего назначения,Ремонтные услуги
7542,Автомойки,Ремонтные услуги
7549,Буксировка,Ремонтные услуги
7622,Ремонт электроники,Ремонтные услуги
7623,Ремонт кондиционеров и холодильников,Ремонтные услуги
7629,Ремонт электрооборудования и малой бытовой техники,Ремонтные услуги
7631,Центры ремонта часов и чистки ювелирных изделий,Ремонтные услуги
7641,"Мебель – обивка, ремонт и реставрация",Ремонтные услуги
7692,Ремонт с помощью сварки,Ремонтные услуги
7699,Ремонтные услуги – нигде более не классифицированные,Ремонтные услуги
7800,Правительственная лотерея (только США),Развлечения
7801,Азартные игры в интернете (только США),Развлечения
7802,Лошадиные / собачьи бега (только США),Развлечения
7829,Производство фото/видео,Развлечения
7832,Кинотеатры,Развлечения
7833,Экспресс-оплата – Кинотеатр,Развлечения
7841,Видеопрокат,Развлечения
7911,"Танцклубы, танцшколы и студии",Развлечения
7922,"Театральные продюсеры (кроме кинофильмов), билетные агентства",Развлечения
7929,"Музыкальные группы, оркестры и прочие развлекательные услуги",Развлечения
7932,Бильярд-клубы,Развлечения
